Districts,Scheduled Castes Colleges attached Hostels ,Scheduled Castes Enrollment,Scheduled Castes Pre-Matric Hostels ,Scheduled Castes Enrollment,Scheduled Tribes Hostels for Boys,Scheduled Tribes Hostels for Girls,Scheduled Tribes Boarders Boys,Scheduled Tribes Boarders Girls
ADILABAD,3,325,20,1646,38,16,10915,8791
BHADRADRI,10,660,23,1679,36,28,9584,10073
HYDERABAD,15,1212,13,961,5,2,437,194
JAGTIAL ,2,200,17,810,5,0,265,45
JANGAON ,4,477,22,918,5,2,996,999
JAYASHANKAR ,2,107,27,1747,32,19,3268,3930
JOGULAMBA ,2,510,15,2379,1,0,150,0
KAMAREDDY ,5,418,26,2198,6,1,699,338
KARIMNAGAR ,7,1320,26,1897,3,1,146,112
KHAMMAM ,11,1159,42,3634,11,7,1993,1798
KOMARAM BHEEM ,3,106,7,547,33,13,6006,6321
MAHABUBABAD,2,93,23,1233,17,9,4129,3405
MAHABUBNAGAR,5,1540,32,4060,4,2,1009,445
MANCHERIAL ,6,800,17,1527,11,6,1651,1753
MEDAK ,1,78,22,2070,7,1,914,224
MEDCHAL,3,215,7,388,1,0,70,0
NAGARKURNOOL ,2,206,29,3549,15,9,3710,2434
NALGONDA ,11,2010,47,4348,24,7,7186,3149
NIRMAL ,3,261,18,910,13,4,3195,1745
NIZAMABAD ,10,1850,35,2728,7,0,949,0
PEDDAPALLI ,3,185,18,1067,1,1,47,69
RAJANNA ,2,184,11,588,1,0,65,0
RANGAREDDY ,8,817,35,3123,6,1,1150,215
SANGAREDDY ,4,517,41,3653,7,3,1093,688
SIDDIPET ,5,442,25,2157,2,1,409,300
SURYAPET ,6,748,35,3048,8,5,1548,1349
VIKARABAD ,2,134,23,1787,7,4,1538,2041
WANAPARTHY ,4,491,18,2388,2,1,452,230
WARANGAL (R) ,4,152,18,689,6,2,747,741
WARANGAL (U),13,1678,23,920,6,1,751,481
YADADRI ,2,182,19,1279,4,2,563,271
