Districts,% SC Population,SC Males,SC Females,SC Sex Ratio,% ST Population,SC Males,SC Females,SC Sex Ratio
ADILABAD,14.02,49242,50180,1019,31.68,112953,111669,989
BHADRADRI,13.42,71281,72201,1013,36.66,194351,197683,1017
HYDERABAD,6.29,124313,123614,994,1.24,25556,23381,915
JAGTIAL ,16.7,80254,84342,1051,2.37,11562,11789,1020
JANGAON ,21.15,60141,59655,992,11.06,31791,30871,971
JAYASHANKAR ,19.47,69312,69178,998,17.37,61023,62521,1025
JOGULAMBA ,19.78,61673,58966,956,1.54,4728,4648,983
KAMAREDDY ,15.76,74133,79169,1068,8.4,40818,40838,1000
KARIMNAGAR ,18.56,93792,92856,990,1.27,6485,6294,971
KHAMMAM ,19.93,138820,140499,1012,14.22,99808,99534,997
KOMARAM BHEEM ,15.82,41132,40464,984,25.91,65866,67761,1029
MAHABUBABAD,13.49,51961,52547,1011,37.8,148139,144639,976
MAHABUBNAGAR,14.63,107085,110380,1031,8.89,67395,64736,961
MANCHERIAL ,24.72,100792,98701,979,7.06,28883,28086,972
MEDAK ,16.68,61673,66297,1075,9.5,36854,36046,978
MEDCHAL,9.39,115811,113377,979,2.26,28367,26877,947
NAGARKURNOOL ,21.32,92814,90955,980,12.4,55300,51580,933
NALGONDA ,18.1,145964,146987,1007,12.93,109272,99980,915
NIRMAL ,15.24,51678,56407,1092,11.36,39770,40806,1026
NIZAMABAD ,13.83,104403,112864,1081,6.81,52738,54297,1030
PEDDAPALLI ,19.47,77311,77544,1003,1.88,7520,7425,987
RAJANNA ,18.5,50290,51820,1030,4.16,11342,11648,1027
RANGAREDDY ,13.78,171194,165829,969,5.67,72538,66172,912
SANGAREDDY ,18.13,139358,137613,987,5.68,44934,41776,930
SIDDIPET ,18.53,93100,94408,1014,2.47,12630,12380,980
SURYAPET ,18.95,103437,104889,1014,12.85,71933,69338,964
VIKARABAD ,19.39,88383,91347,1034,10.21,47937,46686,974
WANAPARTHY ,16.13,47150,46032,976,7.97,23538,22524,957
WARANGAL (R) ,17.89,64033,64535,1008,14.65,53901,51399,954
WARANGAL (U),18.14,97433,98613,1012,3.08,17274,16032,928
YADADRI ,17.39,65164,63404,973,5.86,22450,20868,930
