S.No,District Name,Division Name,Mandal LGD Code,Mandal Name,Panchayat LGD Code,Gram Panchayat Name,Latitude,Longitude
1,Adilabad,ADILABAD,7142,Adilabad Rural,280865,Allikori,19.5531,78.7343
2,Adilabad,ADILABAD,7142,Adilabad Rural,279447,Ankapur,19.5921,78.5758
3,Adilabad,ADILABAD,7142,Adilabad Rural,194909,Ankoli,19.6064,78.5717
4,Adilabad,ADILABAD,7142,Adilabad Rural,194911,Arli(B),19.6995,78.59
5,Adilabad,ADILABAD,7142,Adilabad Rural,279442,Asodha,19.5573,78.6034
6,Adilabad,ADILABAD,7142,Adilabad Rural,194913,Bheemseri,19.6869,78.5351
7,Adilabad,ADILABAD,7142,Adilabad Rural,279438,Burnoor,19.6288,78.605
8,Adilabad,ADILABAD,7142,Adilabad Rural,194914,Chanda,19.7116,78.5494
9,Adilabad,ADILABAD,7142,Adilabad Rural,279452,Chichdari,19.5485,78.7065
10,Adilabad,ADILABAD,7142,Adilabad Rural,194915,Chinchughat,19.5752,78.5543
11,Adilabad,ADILABAD,7142,Adilabad Rural,279435,Chityalbori,19.6357,78.5786
12,Adilabad,ADILABAD,7142,Adilabad Rural,280868,Dimma,19.6996,78.4941
13,Adilabad,ADILABAD,7142,Adilabad Rural,279454,Hathigutta,19.5763,78.728
14,Adilabad,ADILABAD,7142,Adilabad Rural,194916,Jamdapur,19.7249,78.5186
15,Adilabad,ADILABAD,7142,Adilabad Rural,279445,Jamuldhari,19.6305,78.6403
16,Adilabad,ADILABAD,7142,Adilabad Rural,194917,Kachkanti,19.655,78.5659
17,Adilabad,ADILABAD,7142,Adilabad Rural,194918,Khanapur-CH,19.5442,78.7223
18,Adilabad,ADILABAD,7142,Adilabad Rural,194919,Khandala,19.5727,78.6763
19,Adilabad,ADILABAD,7142,Adilabad Rural,194920,Kumbhajheri,19.6806,78.6242
20,Adilabad,ADILABAD,7142,Adilabad Rural,194921,Landasangvi,19.7057,78.5729
21,Adilabad,ADILABAD,7142,Adilabad Rural,279443,Linguguda,19.5924,78.6354
22,Adilabad,ADILABAD,7142,Adilabad Rural,279450,Lohara,19.593,78.6961
23,Adilabad,ADILABAD,7142,Adilabad Rural,194922,Lokari,19.5994,78.6088
24,Adilabad,ADILABAD,7142,Adilabad Rural,279441,Mamidiguda,19.6037,78.6287
25,Adilabad,ADILABAD,7142,Adilabad Rural,278242,New Rampur,19.6734,78.6347
26,Adilabad,ADILABAD,7142,Adilabad Rural,279448,Pedda Maleborigaon,19.5689,78.5297
27,Adilabad,ADILABAD,7142,Adilabad Rural,194924,Pippaldhari,19.6026,78.6395
28,Adilabad,ADILABAD,7142,Adilabad Rural,194925,Pochara,19.6972,78.4976
29,Adilabad,ADILABAD,7142,Adilabad Rural,194926,Ramai,19.6628,78.6419
30,Adilabad,ADILABAD,7142,Adilabad Rural,194928,Thantholi,19.6264,78.5614
31,Adilabad,ADILABAD,7142,Adilabad Rural,279457,Tippa,19.5788,78.7279
32,Adilabad,ADILABAD,7142,Adilabad Rural,194930,Wanwat,19.5982,78.6224
33,Adilabad,ADILABAD,7142,Adilabad Rural,194931,Yapalguda,19.6588,78.6016
34,Adilabad,ADILABAD,7142,Adilabad Rural,280866,Yeshwanthguda,19.6575,78.6012
35,Adilabad,ADILABAD,4636,Bazarhatnoor,280915,Ananthapur,19.5041,78.431
36,Adilabad,ADILABAD,4636,Bazarhatnoor,280904,Andhuguda,19.4855,78.3342
37,Adilabad,ADILABAD,4636,Bazarhatnoor,194946,Bazarhathnoor,19.4585,78.3516
38,Adilabad,ADILABAD,4636,Bazarhatnoor,280910,Bhosra,19.5041,78.431
39,Adilabad,ADILABAD,4636,Bazarhatnoor,194947,Bhutai-B,19.5094,78.3372
40,Adilabad,ADILABAD,4636,Bazarhatnoor,194948,Bhutai-K,19.5215,78.3425
41,Adilabad,ADILABAD,4636,Bazarhatnoor,280903,Burkapally,19.515,78.3777
42,Adilabad,ADILABAD,4636,Bazarhatnoor,280876,Chandunaik Thanda,19.5122,78.3447
43,Adilabad,ADILABAD,4636,Bazarhatnoor,281472,Chintal Sangive,19.4917,78.3653
44,Adilabad,ADILABAD,4636,Bazarhatnoor,194949,Darampuri,19.4858212,78.4007092
45,Adilabad,ADILABAD,4636,Bazarhatnoor,280877,Dedra,19.5499,78.308
46,Adilabad,ADILABAD,4636,Bazarhatnoor,194950,Dehgaon,19.472,78.3801
47,Adilabad,ADILABAD,4636,Bazarhatnoor,280909,Dignoor,19.4603,78.4339
48,Adilabad,ADILABAD,4636,Bazarhatnoor,280908,Gangapur,19.4668,78.4206
49,Adilabad,ADILABAD,4636,Bazarhatnoor,280885,Girjai,19.551,78.3449
50,Adilabad,ADILABAD,4636,Bazarhatnoor,194951,Girnur,19.4469,78.3958
51,Adilabad,ADILABAD,4636,Bazarhatnoor,194952,Gokonda,19.5137682,78.3714202
52,Adilabad,ADILABAD,4636,Bazarhatnoor,280907,Gulab Thanda,19.5066,78.3882
53,Adilabad,ADILABAD,4636,Bazarhatnoor,280912,Harkai,,
54,Adilabad,ADILABAD,4636,Bazarhatnoor,194953,Jatarla,19.4779,78.3526
55,Adilabad,ADILABAD,4636,Bazarhatnoor,280888,Kandly,19.4375112,78.4014637
56,Adilabad,ADILABAD,4636,Bazarhatnoor,280911,Kinnerpally,19.4869,78.4671
57,Adilabad,ADILABAD,4636,Bazarhatnoor,280870,Kolahari,19.4441,78.3324
58,Adilabad,ADILABAD,4636,Bazarhatnoor,280914,Manjram Thanda,19.4911,78.4076
59,Adilabad,ADILABAD,4636,Bazarhatnoor,280881,Mankapur,19.5255,78.3068
60,Adilabad,ADILABAD,4636,Bazarhatnoor,194954,Morkhandi,19.5247,78.3895
61,Adilabad,ADILABAD,4636,Bazarhatnoor,194955,Pipri,19.4287,78.4136
62,Adilabad,ADILABAD,4636,Bazarhatnoor,194956,Rampur,19.4666,78.4079
63,Adilabad,ADILABAD,4636,Bazarhatnoor,194957,Tembi,19.4964,78.4214
64,Adilabad,ADILABAD,4636,Bazarhatnoor,194958,Warthamanoor,19.413721,78.403758
65,Adilabad,ADILABAD,4638,Bela,194982,Awalpur,19.7355,78.7251
66,Adilabad,ADILABAD,4638,Bela,194983,Bela,19.72,78.7715
67,Adilabad,ADILABAD,4638,Bela,194984,Bhadi,19.6975,78.7167
68,Adilabad,ADILABAD,4638,Bela,280979,Bhavaniguda,19.6853,78.8423
69,Adilabad,ADILABAD,4638,Bela,194985,Bhedoda,19.7682,78.7516
70,Adilabad,ADILABAD,4638,Bela,194986,Bhodod (Kopsi),19.7407,78.7575
71,Adilabad,ADILABAD,4638,Bela,194987,Chandpalle,19.6943,78.8379
72,Adilabad,ADILABAD,4638,Bela,194988,Chaprala,19.6944,78.8151
73,Adilabad,ADILABAD,4638,Bela,194989,Dehegoan,19.737,78.7837
74,Adilabad,ADILABAD,4638,Bela,194990,Dhoptala,19.7156,78.7393
75,Adilabad,ADILABAD,4638,Bela,280969,Douna,19.6159,78.7728
76,Adilabad,ADILABAD,4638,Bela,281076,Dubbaguda,19.6043,78.7514
77,Adilabad,ADILABAD,4638,Bela,280992,Ekori,19.7046,78.7595
78,Adilabad,ADILABAD,4638,Bela,281094,Ganeshpur,19.6608,78.8199
79,Adilabad,ADILABAD,4638,Bela,194991,Guda,19.7592,78.7753
80,Adilabad,ADILABAD,4638,Bela,194992,Junoni,19.7059,78.7839
81,Adilabad,ADILABAD,4638,Bela,288850,Khara,19.6264,78.7005
82,Adilabad,ADILABAD,4638,Bela,194993,Khogdur,19.7468,78.8078
83,Adilabad,ADILABAD,4638,Bela,194994,Kobhai,19.7323,78.8283
84,Adilabad,ADILABAD,4638,Bela,281090,Mangrood,19.7522,78.829
85,Adilabad,ADILABAD,4638,Bela,280985,Maniyarpur,19.7531,78.7782
86,Adilabad,ADILABAD,4638,Bela,281080,Masala-B,19.685,78.7373
87,Adilabad,ADILABAD,4638,Bela,288851,Masala-K,19.6626,78.7338
88,Adilabad,ADILABAD,4638,Bela,281084,Patan,19.7155,78.8101
89,Adilabad,ADILABAD,4638,Bela,281071,Pitgaon(L),19.6822,78.8252
90,Adilabad,ADILABAD,4638,Bela,281087,Pohar,19.6873,78.7656
91,Adilabad,ADILABAD,4638,Bela,280971,Ponala,19.7135,78.8375
92,Adilabad,ADILABAD,4638,Bela,194995,Sadalpur,19.68,78.7926
93,Adilabad,ADILABAD,4638,Bela,194996,Sangdi,19.7648,78.7235
94,Adilabad,ADILABAD,4638,Bela,194997,Sangvi,19.5975,78.7634
95,Adilabad,ADILABAD,4638,Bela,281034,Shamshabad,19.7277,78.7618
96,Adilabad,ADILABAD,4638,Bela,194998,Sirsanna,19.7206,78.7192
97,Adilabad,ADILABAD,4638,Bela,194999,Sonkhos,19.6772,78.8091
98,Adilabad,ADILABAD,4638,Bela,195000,Syedpur,19.6265,78.7356
99,Adilabad,ADILABAD,4638,Bela,195001,Takli,19.6961,78.7164
100,Adilabad,ADILABAD,4638,Bela,195002,Toyaguda,19.6389,78.7049
101,Adilabad,ADILABAD,4638,Bela,281096,Warur,19.6873,78.8034
102,Adilabad,ADILABAD,7189,Bheempur,195674,Andarbandh,19.7648,78.384
103,Adilabad,ADILABAD,7189,Bheempur,195675,Antargaon,19.878,78.3686
104,Adilabad,ADILABAD,7189,Bheempur,195676,Arli (T),19.8367,78.3741
105,Adilabad,ADILABAD,7189,Bheempur,195678,Belsari Rampur,19.7768,78.3951
106,Adilabad,ADILABAD,7189,Bheempur,281211,Bhagwanpur,19.8276,78.3386
107,Adilabad,ADILABAD,7189,Bheempur,195679,Bheempoor,19.7738,78.4216
108,Adilabad,ADILABAD,7189,Bheempur,195680,Dhanora,19.8035,78.4018
109,Adilabad,ADILABAD,7189,Bheempur,281261,Gollaghat,19.8106,78.4492
